id,filepath
1,256_ObjectCategories/149.necktie/149_0038.jpg
2,256_ObjectCategories/149.necktie/149_0047.jpg
3,256_ObjectCategories/149.necktie/149_0087.jpg
4,256_ObjectCategories/149.necktie/149_0008.jpg
5,256_ObjectCategories/149.necktie/149_0085.jpg
6,256_ObjectCategories/149.necktie/149_0083.jpg
7,256_ObjectCategories/149.necktie/149_0036.jpg
8,256_ObjectCategories/149.necktie/149_0099.jpg
9,256_ObjectCategories/149.necktie/149_0095.jpg
10,256_ObjectCategories/149.necktie/149_0022.jpg
11,256_ObjectCategories/149.necktie/149_0004.jpg
12,256_ObjectCategories/149.necktie/149_0054.jpg
13,256_ObjectCategories/149.necktie/149_0089.jpg
14,256_ObjectCategories/149.necktie/149_0009.jpg
15,256_ObjectCategories/149.necktie/149_0023.jpg
16,256_ObjectCategories/149.necktie/149_0075.jpg
17,256_ObjectCategories/149.necktie/149_0042.jpg
18,256_ObjectCategories/149.necktie/149_0065.jpg
19,256_ObjectCategories/149.necktie/149_0091.jpg
20,256_ObjectCategories/149.necktie/149_0034.jpg
21,256_ObjectCategories/149.necktie/149_0082.jpg
22,256_ObjectCategories/149.necktie/149_0064.jpg
23,256_ObjectCategories/149.necktie/149_0059.jpg
24,256_ObjectCategories/149.necktie/149_0053.jpg
25,256_ObjectCategories/149.necktie/149_0086.jpg
26,256_ObjectCategories/149.necktie/149_0090.jpg
27,256_ObjectCategories/149.necktie/149_0018.jpg
28,256_ObjectCategories/149.necktie/149_0025.jpg
29,256_ObjectCategories/149.necktie/149_0048.jpg
30,256_ObjectCategories/149.necktie/149_0093.jpg
31,256_ObjectCategories/149.necktie/149_0026.jpg
32,256_ObjectCategories/149.necktie/149_0079.jpg
33,256_ObjectCategories/149.necktie/149_0062.jpg
34,256_ObjectCategories/149.necktie/149_0021.jpg
35,256_ObjectCategories/149.necktie/149_0094.jpg
36,256_ObjectCategories/149.necktie/149_0088.jpg
37,256_ObjectCategories/149.necktie/149_0032.jpg
38,256_ObjectCategories/149.necktie/149_0033.jpg
39,256_ObjectCategories/149.necktie/149_0046.jpg
40,256_ObjectCategories/149.necktie/149_0039.jpg
41,256_ObjectCategories/149.necktie/149_0041.jpg
42,256_ObjectCategories/149.necktie/149_0001.jpg
43,256_ObjectCategories/149.necktie/149_0016.jpg
44,256_ObjectCategories/149.necktie/149_0045.jpg
45,256_ObjectCategories/149.necktie/149_0030.jpg
46,256_ObjectCategories/149.necktie/149_0049.jpg
47,256_ObjectCategories/149.necktie/149_0103.jpg
48,256_ObjectCategories/149.necktie/149_0019.jpg
49,256_ObjectCategories/149.necktie/149_0005.jpg
50,256_ObjectCategories/149.necktie/149_0020.jpg
51,256_ObjectCategories/149.necktie/149_0076.jpg
52,256_ObjectCategories/149.necktie/149_0037.jpg
53,256_ObjectCategories/149.necktie/149_0044.jpg
54,256_ObjectCategories/149.necktie/149_0097.jpg
55,256_ObjectCategories/149.necktie/149_0040.jpg
56,256_ObjectCategories/149.necktie/149_0043.jpg
57,256_ObjectCategories/149.necktie/149_0070.jpg
58,256_ObjectCategories/149.necktie/149_0055.jpg
59,256_ObjectCategories/149.necktie/149_0101.jpg
60,256_ObjectCategories/149.necktie/149_0066.jpg
61,256_ObjectCategories/149.necktie/149_0010.jpg
62,256_ObjectCategories/149.necktie/149_0072.jpg
63,256_ObjectCategories/149.necktie/149_0006.jpg
64,256_ObjectCategories/149.necktie/149_0077.jpg
65,256_ObjectCategories/149.necktie/149_0073.jpg
66,256_ObjectCategories/149.necktie/149_0050.jpg
67,256_ObjectCategories/149.necktie/149_0057.jpg
68,256_ObjectCategories/149.necktie/149_0092.jpg
